Order_ID,Buyer_ID,Supplier_ID,Product_Category,Quantity_Ordered,Order_Date,Dispatch_Date,Delivery_Date,Shipping_Mode,Order_Value_USD,Delay_Days,Disruption_Type,Disruption_Severity,Historical_Disruption_Count,Supplier_Reliability_Score,Organization_ID,Dominant_Buyer_Flag,Available_Historical_Records,Data_Sharing_Consent,Federated_Round,Parameter_Change_Magnitude,Communication_Cost_MB,Energy_Consumption_Joules,Supply_Risk_Flag
O1155,B22,S21,Electronics,358,2023-10-03,2023-10-05,2023-10-09,Air,44565.64,1,Shortage,Low,7,0.71,Org19,0,233,0,10,0.3544,4.98,417.48,1
O1156,B15,S6,Textiles,17,2023-06-30,2023-07-01,2023-07-08,Air,14726.78,1,Strike,Low,18,0.6,Org13,0,527,0,3,0.077,4.91,344.83,1
O1157,B19,S14,Machinery,842,2023-08-30,2023-09-01,2023-09-07,Rail,18705.41,0,None,None,19,0.76,Org3,0,643,1,6,0.2142,4.47,278.24,0
O1158,B31,S21,Electronics,322,2023-08-04,2023-08-07,2023-08-20,Road,3375.55,5,Customs,High,14,0.57,Org16,0,245,1,8,0.1989,3.09,204.36,1
O1159,B38,S17,Food,768,2023-09-08,2023-09-11,2023-09-16,Air,6019.85,2,Shortage,Medium,8,0.72,Org1,1,436,0,9,0.2718,2.29,132.91,1
O1160,B12,S29,Food,844,2023-10-26,2023-10-29,2023-11-05,Road,26035.16,3,Strike,High,19,0.66,Org11,0,125,0,6,0.4225,2.14,97.9,1
O1161,B30,S16,Electronics,993,2023-05-06,2023-05-09,2023-05-15,Road,13745.84,1,Strike,High,9,0.96,Org1,0,172,1,5,0.2959,0.55,486.16,1
O1162,B6,S6,Machinery,992,2023-08-05,2023-08-06,2023-08-09,Rail,41856.27,2,Weather,Medium,11,0.53,Org11,1,235,0,2,0.0402,1.62,139.84,1
O1163,B5,S4,Electronics,452,2023-11-02,2023-11-05,2023-11-21,Sea,1227.32,7,Shortage,Low,19,0.85,Org16,0,239,1,2,0.3312,3.73,76.94,1
O1164,B42,S4,Food,776,2023-10-12,2023-10-14,2023-10-19,Rail,19265.16,1,Shortage,High,0,0.59,Org10,0,191,1,9,0.014,3.22,482.75,1
O1165,B44,S3,Pharma,337,2023-07-04,2023-07-05,2023-07-13,Sea,17198.6,0,None,None,19,0.66,Org5,0,258,1,2,0.3922,4.62,297.03,0
O1166,B23,S23,Textiles,63,2023-02-08,2023-02-12,2023-02-20,Sea,1456.72,3,Customs,High,8,0.71,Org18,0,327,1,2,0.3367,0.73,408.5,1
O1167,B1,S12,Food,770,2023-08-11,2023-08-12,2023-08-21,Rail,6656.24,0,None,None,14,0.95,Org18,1,974,1,3,0.1613,1.2,69.69,0
O1168,B10,S4,Electronics,248,2023-07-03,2023-07-05,2023-07-13,Rail,20975.31,5,Customs,Medium,0,0.62,Org10,0,219,1,3,0.1533,4.05,305.13,1
O1169,B2,S25,Textiles,238,2023-06-27,2023-06-30,2023-07-04,Sea,24896.8,1,Weather,High,11,0.55,Org9,0,665,1,4,0.4012,2.11,229.19,1
O1170,B27,S7,Electronics,588,2023-10-21,2023-10-22,2023-10-24,Rail,20512.34,0,None,None,2,0.66,Org17,0,401,0,7,0.3938,1.03,397.38,0
O1171,B31,S6,Electronics,60,2023-12-06,2023-12-08,2023-12-11,Sea,26781.42,2,Shortage,Low,10,0.55,Org18,0,866,1,9,0.1826,4.98,67.29,1
O1172,B33,S9,Pharma,618,2023-05-31,2023-06-02,2023-06-08,Road,29959.02,0,None,None,1,0.56,Org3,0,105,1,2,0.1565,4.04,230.76,0
O1173,B29,S12,Textiles,613,2023-05-06,2023-05-08,2023-05-16,Rail,991.23,0,None,None,15,0.79,Org18,0,903,0,4,0.2843,2.34,409.58,0
O1174,B47,S8,Textiles,273,2023-10-28,2023-10-31,2023-11-08,Road,23472.71,0,None,None,8,0.53,Org20,0,867,0,9,0.0141,4.21,285.21,0
O1175,B29,S12,Pharma,427,2023-11-04,2023-11-08,2023-11-09,Air,48193.21,0,None,None,14,0.52,Org13,0,765,1,2,0.0505,3.56,297.52,0
O1176,B14,S20,Food,812,2023-12-02,2023-12-03,2023-12-12,Road,26192.1,0,None,None,11,0.86,Org13,0,95,1,10,0.0718,4.05,93.72,0
O1177,B19,S4,Electronics,105,2023-08-22,2023-08-25,2023-08-31,Road,34038.34,0,None,None,0,0.68,Org15,0,424,1,1,0.1009,4.17,109.55,0
O1178,B26,S5,Machinery,97,2023-01-08,2023-01-09,2023-01-13,Sea,15937.26,0,None,None,12,0.56,Org1,0,403,1,10,0.2609,0.88,354.65,0
O1179,B2,S16,Electronics,87,2023-12-07,2023-12-09,2023-12-11,Road,38812.57,1,Shortage,High,13,0.63,Org16,1,705,1,8,0.4962,3.3,353.77,1
O1180,B34,S21,Electronics,297,2023-05-09,2023-05-11,2023-05-27,Rail,38759.61,7,Strike,Low,7,0.82,Org20,0,642,1,9,0.3298,0.53,490.6,1
O1181,B26,S8,Food,129,2023-09-21,2023-09-24,2023-09-26,Sea,26304.15,1,Weather,Medium,7,0.64,Org10,0,853,1,7,0.04,0.7,370.38,1
O1182,B48,S30,Electronics,823,2023-06-06,2023-06-09,2023-06-28,Air,48812.68,10,Weather,Medium,11,0.75,Org16,0,510,0,8,0.2675,4.57,271.96,1
O1183,B3,S29,Pharma,500,2023-12-18,2023-12-21,2023-12-22,Rail,6714.74,0,None,None,0,0.56,Org7,0,613,1,4,0.2534,2.87,435.8,0
O1184,B37,S10,Pharma,921,2023-12-24,2023-12-28,2024-01-03,Air,1338.91,0,None,None,10,0.79,Org8,1,591,1,4,0.0806,3.81,97.01,0
O1185,B47,S28,Textiles,461,2023-01-05,2023-01-07,2023-01-24,Road,38622.83,10,Customs,High,7,0.66,Org15,0,925,1,2,0.4609,4.27,252.18,1
O1186,B36,S3,Machinery,509,2023-03-27,2023-03-28,2023-03-31,Rail,40454.2,0,None,None,9,0.81,Org6,1,142,1,8,0.226,4.77,179.2,0
O1187,B14,S16,Electronics,174,2023-06-24,2023-06-27,2023-06-30,Rail,6450.26,2,Strike,Low,18,0.9,Org8,0,800,0,2,0.4973,4.41,97.09,1
O1188,B10,S15,Electronics,191,2023-10-17,2023-10-20,2023-10-29,Air,13646.35,1,Shortage,High,10,0.81,Org20,1,658,1,9,0.2158,2.67,393.58,1
O1189,B12,S24,Food,478,2023-07-12,2023-07-14,2023-07-21,Rail,1368.84,3,Weather,Low,6,0.65,Org5,0,323,0,4,0.3079,2.01,279.86,1
O1190,B38,S1,Pharma,919,2023-11-07,2023-11-11,2023-11-23,Rail,15018.78,5,Customs,Medium,10,0.63,Org5,1,708,1,1,0.0613,1.2,300.55,1
O1191,B29,S11,Machinery,744,2023-04-29,2023-05-03,2023-05-06,Rail,38770.52,0,None,None,16,0.66,Org9,0,230,1,4,0.2326,2.3,235.06,0
O1192,B11,S26,Textiles,832,2023-08-06,2023-08-08,2023-08-22,Road,26139.05,10,Customs,Low,0,0.58,Org8,0,985,1,3,0.127,2.15,257.15,1
O1193,B19,S1,Pharma,953,2023-04-24,2023-04-27,2023-05-03,Air,17730.73,0,None,None,7,0.59,Org11,0,447,0,6,0.4194,3.02,102.21,0
O1194,B29,S1,Textiles,987,2023-05-25,2023-05-26,2023-05-29,Rail,18901.1,0,None,None,5,0.9,Org5,0,55,1,7,0.3941,3.49,352.81,0
O1195,B24,S28,Food,16,2023-01-26,2023-01-27,2023-02-01,Sea,567.0,0,None,None,17,0.69,Org3,1,799,1,8,0.4138,4.9,244.6,0
O1196,B31,S25,Food,339,2023-05-16,2023-05-20,2023-05-23,Sea,15340.13,0,None,None,5,0.72,Org12,0,201,1,2,0.3646,3.78,417.55,0
O1197,B36,S24,Electronics,784,2023-10-30,2023-11-03,2023-11-09,Sea,32499.71,5,Weather,Medium,4,0.8,Org2,0,529,1,6,0.418,3.4,138.33,1
O1198,B49,S14,Machinery,682,2023-08-20,2023-08-23,2023-09-07,Sea,48722.62,10,Customs,Low,12,0.79,Org5,0,388,1,6,0.1084,2.01,142.27,1
O1199,B23,S10,Textiles,160,2023-03-17,2023-03-19,2023-03-25,Road,42429.51,0,None,None,18,0.53,Org18,0,797,1,10,0.2315,0.66,340.59,0
O1200,B13,S8,Pharma,94,2023-11-24,2023-11-27,2023-12-11,Rail,1667.95,10,Customs,High,7,0.92,Org19,0,700,1,5,0.349,1.8,430.7,1
O1201,B26,S4,Food,156,2023-12-11,2023-12-15,2023-12-25,Air,44978.75,2,Shortage,Medium,8,0.59,Org17,0,343,1,10,0.3223,3.96,262.49,1
O1202,B37,S19,Electronics,633,2023-10-29,2023-10-31,2023-11-10,Rail,39268.32,5,Customs,Low,16,0.86,Org17,0,48,1,10,0.361,1.42,377.13,1
O1203,B40,S30,Electronics,390,2023-10-16,2023-10-19,2023-10-24,Road,39128.62,0,None,None,2,0.89,Org18,1,302,1,7,0.1199,3.7,499.7,0
O1204,B13,S29,Textiles,924,2023-01-01,2023-01-04,2023-01-23,Sea,23170.79,10,Customs,High,18,0.86,Org15,0,699,1,3,0.0582,3.11,495.62,1
O1205,B6,S16,Food,557,2023-05-27,2023-05-29,2023-06-05,Road,20201.26,0,None,None,10,0.79,Org4,0,171,0,4,0.4592,1.27,384.95,0
O1206,B44,S13,Machinery,294,2023-10-14,2023-10-18,2023-10-21,Rail,15494.33,0,None,None,16,0.51,Org8,1,340,1,10,0.2845,1.68,382.81,0
O1207,B47,S3,Food,709,2023-05-22,2023-05-26,2023-06-02,Air,3751.9,2,Strike,Medium,18,0.68,Org13,0,895,1,9,0.0854,2.73,161.43,1
O1208,B45,S1,Textiles,91,2023-02-22,2023-02-26,2023-03-04,Road,11797.65,0,None,None,1,0.8,Org16,0,113,1,4,0.3988,2.38,425.09,0
O1209,B7,S26,Textiles,523,2023-10-31,2023-11-04,2023-11-07,Air,12706.88,0,None,None,7,0.69,Org16,0,170,1,3,0.4583,4.0,232.3,0
O1210,B18,S5,Food,906,2023-03-10,2023-03-14,2023-03-25,Road,24461.81,3,Weather,Medium,18,0.93,Org7,0,808,1,2,0.0931,3.8,482.9,1
O1211,B30,S9,Textiles,824,2023-12-27,2023-12-30,2024-01-08,Air,37498.5,0,None,None,6,0.65,Org1,0,644,1,5,0.4105,3.09,86.64,0
O1212,B31,S3,Food,718,2023-03-31,2023-04-04,2023-04-07,Air,23953.59,0,None,None,16,0.65,Org4,1,63,1,4,0.4673,4.2,246.13,0
O1213,B18,S20,Pharma,925,2023-08-08,2023-08-09,2023-08-13,Sea,3363.3,2,Customs,Medium,5,0.63,Org9,0,949,1,8,0.4698,3.03,300.13,1
O1214,B40,S3,Food,532,2023-07-11,2023-07-14,2023-07-26,Air,47910.6,3,Customs,Low,18,0.67,Org18,0,43,1,7,0.4579,4.84,232.32,1
O1215,B30,S5,Food,755,2023-03-04,2023-03-07,2023-03-17,Sea,47164.85,7,Shortage,Medium,5,0.78,Org4,1,251,0,6,0.2777,1.48,144.76,1
O1216,B44,S29,Textiles,395,2023-03-14,2023-03-16,2023-03-21,Rail,39366.88,1,Shortage,High,1,0.85,Org18,1,976,0,2,0.1845,3.71,316.84,1
O1217,B13,S17,Textiles,716,2023-06-10,2023-06-14,2023-06-25,Rail,49570.73,3,Shortage,Medium,5,0.83,Org4,0,899,1,3,0.0136,2.16,390.16,1
O1218,B27,S27,Electronics,480,2023-06-18,2023-06-19,2023-06-23,Sea,27451.88,0,None,None,4,0.9,Org19,0,122,1,10,0.0398,1.76,340.18,0
O1219,B3,S15,Electronics,128,2023-03-30,2023-04-02,2023-04-04,Sea,48157.03,0,None,None,18,0.94,Org10,0,327,1,9,0.2201,1.31,155.5,0
O1220,B50,S28,Pharma,405,2023-06-25,2023-06-29,2023-07-11,Road,4242.45,3,Strike,Medium,19,0.91,Org1,1,32,0,9,0.2057,2.99,379.22,1
O1221,B1,S3,Electronics,541,2023-09-26,2023-09-29,2023-10-02,Road,18601.2,0,None,None,3,0.51,Org11,1,567,1,5,0.1005,1.47,165.6,0
O1222,B25,S25,Food,270,2023-03-14,2023-03-15,2023-03-25,Road,11656.37,1,Weather,High,16,0.87,Org17,0,833,1,3,0.2038,1.4,128.84,1
O1223,B42,S13,Textiles,814,2023-09-02,2023-09-06,2023-09-09,Rail,10193.74,2,Strike,High,10,0.6,Org11,0,656,1,2,0.0956,4.96,360.8,1
O1224,B9,S1,Electronics,943,2023-03-18,2023-03-21,2023-04-01,Road,7469.75,2,Customs,Low,3,0.57,Org11,0,127,0,8,0.4259,4.11,429.25,1
O1225,B47,S19,Electronics,265,2023-06-08,2023-06-10,2023-06-11,Air,31309.48,0,None,None,12,0.82,Org8,1,994,1,6,0.1561,3.87,266.69,0
O1226,B18,S26,Pharma,743,2023-11-20,2023-11-24,2023-12-01,Air,39175.43,3,Customs,Medium,19,0.66,Org9,0,710,1,10,0.3033,4.07,289.13,1
O1227,B28,S21,Pharma,914,2023-04-08,2023-04-09,2023-04-12,Road,29125.77,2,Strike,Medium,16,0.53,Org13,0,652,1,7,0.2564,4.86,186.24,1
O1228,B13,S22,Food,235,2023-04-12,2023-04-13,2023-04-24,Air,7774.65,3,Strike,Low,8,0.57,Org3,1,943,1,1,0.0354,3.08,272.58,1
O1229,B39,S20,Textiles,62,2023-05-12,2023-05-14,2023-05-15,Rail,40650.63,0,None,None,3,0.5,Org12,0,221,0,1,0.4717,1.49,109.39,0
O1230,B17,S24,Pharma,949,2023-04-12,2023-04-15,2023-04-18,Air,31979.76,1,Shortage,High,13,0.95,Org2,0,427,1,10,0.2683,4.38,480.12,1
O1231,B13,S11,Electronics,876,2023-01-19,2023-01-23,2023-01-28,Rail,19714.2,0,None,None,18,0.51,Org14,0,122,1,2,0.1693,3.84,410.16,0
O1232,B2,S7,Textiles,509,2023-03-23,2023-03-26,2023-04-10,Sea,33869.45,10,Customs,Medium,2,0.6,Org3,0,53,1,10,0.0875,2.36,350.59,1
O1233,B28,S7,Textiles,515,2023-10-06,2023-10-09,2023-10-11,Sea,13365.3,0,None,None,13,0.71,Org12,0,137,0,3,0.1759,2.63,292.19,0
O1234,B40,S25,Electronics,863,2023-12-05,2023-12-06,2023-12-08,Sea,17587.01,0,None,None,7,0.68,Org4,0,885,1,1,0.0201,2.35,406.48,0
O1235,B17,S23,Pharma,373,2023-12-31,2024-01-04,2024-01-08,Sea,45915.55,2,Strike,Medium,0,0.96,Org12,0,167,1,5,0.1881,4.68,272.64,1
O1236,B19,S24,Electronics,289,2023-11-27,2023-11-28,2023-12-07,Air,14879.97,0,None,None,9,0.52,Org7,1,794,1,3,0.2704,2.05,184.99,0
O1237,B46,S9,Textiles,602,2023-05-09,2023-05-13,2023-05-19,Road,23764.42,0,None,None,17,0.76,Org11,0,836,1,1,0.4372,4.84,122.17,0
O1238,B48,S23,Machinery,723,2023-12-10,2023-12-11,2023-12-12,Air,44561.99,0,None,None,15,0.84,Org8,0,403,0,8,0.3468,4.6,341.41,0
O1239,B25,S18,Machinery,167,2023-11-06,2023-11-09,2023-11-17,Rail,35532.21,0,None,None,7,0.97,Org1,0,876,1,6,0.0647,3.34,468.24,0
O1240,B32,S12,Food,641,2023-03-30,2023-04-03,2023-04-08,Air,3579.06,0,None,None,0,0.81,Org1,1,861,1,9,0.0824,3.11,119.13,0
O1241,B6,S10,Electronics,68,2023-08-01,2023-08-05,2023-08-14,Air,7791.5,0,None,None,11,0.9,Org2,1,521,1,3,0.2198,2.17,131.01,0
O1242,B46,S26,Electronics,736,2023-05-23,2023-05-26,2023-06-03,Rail,888.16,0,None,None,7,0.54,Org18,0,923,1,9,0.1059,0.58,245.12,0
O1243,B17,S1,Food,137,2023-03-06,2023-03-10,2023-03-16,Sea,31730.63,0,None,None,15,0.69,Org3,0,54,1,9,0.0236,1.07,413.1,0
O1244,B44,S15,Food,745,2023-03-17,2023-03-18,2023-03-25,Sea,22659.83,3,Weather,Low,17,0.69,Org11,0,117,1,1,0.4045,3.89,182.27,1
O1245,B46,S29,Food,730,2023-07-18,2023-07-21,2023-07-22,Sea,7146.61,0,None,None,3,0.94,Org15,0,228,1,3,0.0196,2.62,164.26,0
O1246,B26,S24,Textiles,891,2023-05-23,2023-05-26,2023-06-12,Road,47917.74,10,Customs,Low,5,0.58,Org18,0,452,1,6,0.417,1.17,328.98,1
O1247,B17,S18,Electronics,124,2023-11-12,2023-11-14,2023-11-23,Rail,26718.16,3,Shortage,Medium,11,0.58,Org19,1,839,1,8,0.0806,1.69,291.03,1
O1248,B11,S21,Textiles,218,2023-04-03,2023-04-05,2023-04-09,Rail,12473.72,0,None,None,8,0.66,Org18,1,324,0,4,0.4876,4.77,77.1,0
O1249,B28,S10,Food,535,2023-11-01,2023-11-05,2023-11-07,Air,25279.88,0,None,None,14,0.53,Org7,0,186,1,5,0.3059,2.15,86.67,0
O1250,B49,S29,Electronics,530,2023-08-12,2023-08-14,2023-08-19,Road,34141.21,0,None,None,15,0.59,Org2,1,237,1,9,0.3701,4.58,339.36,0
O1251,B37,S24,Textiles,561,2023-10-18,2023-10-21,2023-11-06,Sea,4273.84,10,Weather,Low,11,0.98,Org6,1,712,1,6,0.0641,1.87,259.31,1
O1252,B1,S23,Textiles,971,2023-04-12,2023-04-14,2023-04-16,Road,14097.84,1,Weather,Low,13,0.71,Org6,0,992,1,7,0.4324,2.94,486.94,1
O1253,B19,S25,Food,246,2023-09-24,2023-09-28,2023-10-08,Rail,40444.79,1,Shortage,Medium,12,0.82,Org12,0,681,1,7,0.4212,0.59,355.34,1
O1254,B21,S19,Electronics,290,2023-12-21,2023-12-22,2024-01-05,Rail,23253.41,5,Weather,Medium,1,0.86,Org20,1,915,1,4,0.33,2.85,54.53,1
O1255,B35,S29,Food,368,2023-04-20,2023-04-21,2023-04-27,Air,27555.57,0,None,None,2,0.68,Org14,0,276,1,4,0.2561,3.37,266.46,0
O1256,B46,S23,Electronics,210,2023-11-26,2023-11-30,2023-12-02,Air,21924.39,0,None,None,9,0.57,Org16,1,879,0,4,0.3635,1.55,236.5,0
O1257,B20,S24,Machinery,767,2023-09-22,2023-09-25,2023-10-02,Rail,2673.05,5,Customs,Low,8,0.6,Org7,1,847,1,5,0.0129,3.11,98.02,1
O1258,B8,S10,Pharma,287,2023-01-03,2023-01-06,2023-01-13,Sea,8704.61,0,None,None,19,0.66,Org1,0,388,0,5,0.3003,3.41,465.44,0
O1259,B45,S29,Pharma,244,2023-03-26,2023-03-28,2023-04-06,Sea,22554.31,0,None,None,7,0.82,Org13,1,498,1,8,0.4252,3.59,412.26,0
O1260,B35,S25,Pharma,503,2023-10-09,2023-10-10,2023-10-16,Road,10854.68,3,Customs,Low,9,0.7,Org10,1,711,1,9,0.1849,3.99,153.54,1
O1261,B23,S30,Food,13,2023-11-24,2023-11-26,2023-12-04,Rail,2973.96,0,None,None,18,0.5,Org10,0,696,1,2,0.0631,1.9,165.19,0
O1262,B34,S10,Machinery,675,2023-10-31,2023-11-03,2023-11-19,Rail,42260.66,7,Customs,Medium,2,0.76,Org16,0,299,0,7,0.2162,3.05,64.41,1
O1263,B22,S27,Electronics,451,2023-04-27,2023-04-29,2023-05-09,Sea,49069.03,3,Customs,Low,4,0.96,Org11,0,366,1,1,0.3663,4.92,183.52,1
O1264,B22,S25,Textiles,38,2023-08-09,2023-08-12,2023-08-21,Sea,39760.57,2,Shortage,Medium,2,0.91,Org2,0,666,0,1,0.0626,4.54,313.08,1
O1265,B36,S6,Electronics,118,2023-06-03,2023-06-04,2023-06-07,Rail,42762.35,0,None,None,15,0.91,Org12,0,753,1,4,0.111,4.79,239.38,0
O1266,B32,S27,Textiles,619,2023-06-02,2023-06-04,2023-06-09,Air,12477.87,0,None,None,16,0.9,Org15,0,881,1,10,0.0823,2.24,486.16,0
O1267,B32,S13,Electronics,736,2023-01-12,2023-01-13,2023-01-20,Rail,48051.04,0,None,None,14,0.66,Org13,0,959,1,7,0.4005,4.04,75.24,0
O1268,B13,S22,Machinery,814,2023-05-13,2023-05-16,2023-05-21,Rail,10247.82,0,None,None,2,0.88,Org1,0,213,1,2,0.0408,3.29,316.14,0
O1269,B39,S24,Textiles,84,2023-10-31,2023-11-04,2023-11-21,Sea,47595.78,10,Weather,Medium,11,0.57,Org17,1,222,0,2,0.3464,0.87,436.24,1
O1270,B6,S30,Food,847,2023-10-20,2023-10-22,2023-10-25,Sea,49743.56,0,None,None,8,0.83,Org10,1,561,1,1,0.1896,4.21,266.33,0
O1271,B20,S7,Electronics,155,2023-10-27,2023-10-30,2023-11-01,Air,35730.28,0,None,None,11,0.82,Org1,1,796,0,10,0.3803,3.55,51.33,0
O1272,B3,S29,Electronics,137,2023-08-16,2023-08-20,2023-08-25,Air,49066.61,0,None,None,14,0.51,Org14,0,332,1,2,0.4825,1.4,159.26,0
O1273,B18,S30,Textiles,862,2023-09-28,2023-10-01,2023-10-10,Road,28692.22,0,None,None,1,0.89,Org4,1,603,0,7,0.0661,0.86,195.7,0
O1274,B22,S23,Food,51,2023-02-12,2023-02-16,2023-03-02,Rail,13347.32,10,Strike,Low,17,0.95,Org15,1,190,1,9,0.164,4.27,484.7,1
O1275,B38,S22,Food,365,2023-12-09,2023-12-13,2023-12-19,Sea,22131.3,2,Customs,High,19,0.63,Org13,0,508,1,6,0.407,0.86,460.3,1
O1276,B9,S8,Machinery,50,2023-11-22,2023-11-25,2023-12-01,Air,29881.27,0,None,None,11,0.91,Org15,0,329,1,10,0.1404,0.91,477.13,0
O1277,B36,S24,Food,943,2023-10-29,2023-11-02,2023-11-07,Road,4117.54,0,None,None,3,0.54,Org7,0,92,1,2,0.1154,2.42,421.59,0
O1278,B29,S16,Food,43,2023-12-30,2023-12-31,2024-01-10,Road,31305.99,1,Strike,Medium,15,0.8,Org4,1,312,1,10,0.4144,1.11,208.24,1
O1279,B10,S26,Food,26,2023-01-21,2023-01-25,2023-02-05,Sea,49068.3,2,Strike,Low,15,0.74,Org8,0,271,0,10,0.4937,4.61,457.64,1
O1280,B42,S30,Pharma,686,2023-04-17,2023-04-18,2023-05-04,Sea,9910.33,10,Shortage,Medium,0,0.77,Org9,0,793,1,9,0.2829,2.62,491.76,1
O1281,B17,S29,Machinery,162,2023-12-02,2023-12-03,2023-12-09,Road,39733.46,3,Shortage,Low,1,0.96,Org7,0,209,0,7,0.1462,3.06,207.53,1
O1282,B8,S2,Electronics,387,2023-10-30,2023-11-02,2023-11-07,Air,45440.99,2,Weather,Low,2,0.94,Org11,0,249,1,1,0.2053,4.68,167.25,1
O1283,B48,S9,Textiles,597,2023-04-27,2023-05-01,2023-05-12,Road,47213.23,5,Strike,High,19,0.89,Org13,0,923,1,9,0.0934,2.89,296.11,1
O1284,B7,S14,Electronics,608,2023-05-04,2023-05-06,2023-05-15,Rail,48026.71,0,None,None,16,0.64,Org17,0,701,1,2,0.3833,2.09,134.22,0
O1285,B2,S20,Machinery,638,2023-10-08,2023-10-11,2023-10-22,Rail,26312.25,3,Weather,Medium,19,0.96,Org3,0,953,1,4,0.389,4.09,64.68,1
O1286,B47,S6,Textiles,883,2023-10-19,2023-10-20,2023-10-28,Sea,48876.74,0,None,None,0,0.55,Org11,1,692,1,9,0.4388,2.49,475.62,0
O1287,B40,S19,Machinery,351,2023-07-22,2023-07-25,2023-07-28,Air,37986.86,0,None,None,19,0.93,Org8,0,304,1,4,0.023,1.93,466.58,0
O1288,B47,S7,Food,990,2023-02-20,2023-02-21,2023-02-25,Air,8502.74,0,None,None,5,0.66,Org20,0,521,0,3,0.2854,3.75,123.19,0
O1289,B6,S22,Textiles,36,2023-09-28,2023-09-30,2023-10-05,Rail,24106.56,0,None,None,14,0.53,Org19,0,698,1,1,0.115,4.11,233.48,0
O1290,B8,S17,Food,834,2023-11-20,2023-11-24,2023-11-29,Road,36057.39,2,Customs,Medium,13,0.83,Org11,0,890,1,7,0.177,4.06,423.97,1
O1291,B17,S29,Electronics,296,2023-10-04,2023-10-05,2023-10-12,Sea,12743.35,5,Shortage,Low,19,0.62,Org1,0,405,1,6,0.3946,4.9,347.45,1
O1292,B42,S17,Electronics,655,2023-05-21,2023-05-24,2023-06-02,Road,32210.45,2,Customs,Medium,14,0.62,Org17,0,758,1,10,0.1041,4.04,227.65,1
O1293,B12,S16,Textiles,740,2023-10-02,2023-10-06,2023-10-09,Road,33496.72,0,None,None,13,0.65,Org6,1,147,0,4,0.3228,3.96,384.88,0
O1294,B30,S12,Textiles,177,2023-10-17,2023-10-19,2023-10-23,Road,8553.64,0,None,None,4,0.53,Org13,1,848,1,6,0.3307,4.36,453.67,0
O1295,B24,S16,Machinery,619,2023-11-30,2023-12-02,2023-12-05,Air,28471.72,0,None,None,5,0.59,Org19,1,887,1,6,0.4775,0.5,466.77,0
O1296,B6,S9,Machinery,277,2023-02-21,2023-02-22,2023-02-27,Rail,38695.53,1,Shortage,Medium,16,0.5,Org16,0,832,1,4,0.3898,2.13,220.48,1
O1297,B2,S28,Food,758,2023-01-27,2023-01-30,2023-02-07,Air,25195.34,0,None,None,10,0.72,Org3,0,138,1,6,0.4038,3.82,128.1,0
O1298,B19,S25,Textiles,830,2023-06-06,2023-06-08,2023-06-17,Rail,1099.1,0,None,None,15,0.54,Org4,1,58,1,10,0.2705,3.2,460.78,0
O1299,B41,S30,Electronics,464,2023-08-27,2023-08-31,2023-09-15,Sea,947.4,7,Shortage,High,11,0.84,Org19,0,685,1,8,0.1015,1.3,91.65,1
O1300,B18,S15,Machinery,915,2023-06-05,2023-06-06,2023-06-15,Sea,18172.95,0,None,None,14,0.62,Org5,0,798,1,3,0.2185,1.87,374.76,0
O1301,B27,S8,Machinery,694,2023-10-18,2023-10-22,2023-11-02,Road,46346.61,2,Customs,Medium,3,0.97,Org10,0,302,1,4,0.2792,2.02,113.22,1
O1302,B7,S4,Electronics,410,2023-05-16,2023-05-20,2023-05-26,Rail,11819.5,0,None,None,17,0.94,Org16,0,637,1,10,0.3424,3.06,225.22,0
O1303,B5,S18,Machinery,931,2023-05-24,2023-05-27,2023-05-28,Rail,31901.0,0,None,None,2,0.64,Org4,0,545,1,1,0.3078,4.24,235.2,0
O1304,B42,S20,Food,990,2023-04-16,2023-04-17,2023-04-24,Rail,11492.76,1,Weather,Low,7,0.89,Org7,1,320,1,4,0.203,4.7,121.44,1
O1305,B20,S25,Textiles,485,2023-06-07,2023-06-10,2023-06-15,Road,16422.66,1,Customs,Low,2,0.9,Org10,0,546,0,10,0.14,3.88,465.21,1
O1306,B31,S12,Electronics,711,2023-05-26,2023-05-27,2023-06-05,Road,42478.08,0,None,None,7,0.99,Org17,0,912,1,10,0.0924,4.29,51.2,0
O1307,B33,S25,Textiles,643,2023-01-02,2023-01-03,2023-01-08,Sea,36578.64,0,None,None,17,0.8,Org11,1,648,1,9,0.35,2.62,452.21,0
O1308,B15,S6,Machinery,567,2023-03-18,2023-03-19,2023-03-22,Air,5222.26,1,Customs,Medium,9,0.54,Org4,1,243,1,8,0.3262,2.25,447.72,1
O1309,B45,S18,Machinery,585,2023-05-12,2023-05-13,2023-05-18,Rail,21720.75,0,None,None,19,0.82,Org5,0,218,1,4,0.3468,2.27,192.63,0
O1310,B2,S28,Electronics,139,2023-03-31,2023-04-04,2023-04-12,Rail,1943.9,0,None,None,16,0.81,Org14,0,614,1,7,0.1925,3.27,366.93,0
O1311,B48,S13,Food,831,2023-12-11,2023-12-13,2023-12-22,Air,24304.06,0,None,None,7,0.82,Org10,1,103,0,10,0.1386,1.06,163.76,0
O1312,B35,S4,Pharma,372,2023-12-16,2023-12-19,2023-12-20,Rail,33290.48,0,None,None,10,0.65,Org2,1,336,1,3,0.3823,3.11,391.45,0
O1313,B31,S22,Electronics,714,2023-09-20,2023-09-24,2023-09-27,Road,6365.88,0,None,None,4,0.93,Org7,0,234,1,9,0.3891,3.49,302.5,0
